ability_identifier,language_identifier,name
bad-dreams,ko,나이트메어
bad-dreams,zh-simp,梦魇
bad-dreams,zh-trad,夢魘
ball-fetch,jp-kana,たまひろい
ball-fetch,jp-kanji,たまひろい
ball-fetch,en,Ball Fetch
ball-fetch,fr,Ramasse Ball
ball-fetch,it,Raccattapalle
ball-fetch,de,Apport
ball-fetch,es,Recogebolas
ball-fetch,ko,볼줍기
ball-fetch,zh-simp,捡球
ball-fetch,zh-trad,撿球
battery,jp-kana,バッテリー
battery,jp-kanji,バッテリー
battery,en,Battery
battery,fr,Batterie
battery,it,Batteria
battery,de,Batterie
battery,es,Batería
battery,ko,배터리
battery,zh-simp,蓄电池
battery,zh-trad,蓄電池
battle-armor,jp-kana,カブトアーマー
battle-armor,jp-kanji,カブトアーマー
battle-armor,en,Battle Armor
battle-armor,fr,Armurbaston
battle-armor,it,Lottascudo
battle-armor,de,Kampfpanzer
battle-armor,es,Armadura Batalla
battle-armor,ko,전투무장
battle-armor,zh-simp,战斗盔甲
battle-armor,zh-trad,戰鬥盔甲
battle-bond,jp-kana,きずなへんげ
battle-bond,jp-kanji,きずなへんげ
battle-bond,en,Battle Bond
battle-bond,fr,Synergie
battle-bond,it,Morfosintonia
battle-bond,de,Freundschaftsakt
battle-bond,es,Fuerte Afecto
battle-bond,ko,유대변화
battle-bond,zh-simp,牵绊变身
battle-bond,zh-trad,牽絆變身
beads-of-ruin,jp-kana,わざわいのたま
beads-of-ruin,jp-kanji,わざわいのたま
beads-of-ruin,en,Beads of Ruin
beads-of-ruin,fr,Perles du Fléau
beads-of-ruin,it,Monile Nefasto
beads-of-ruin,de,Unheilsjuwelen
beads-of-ruin,es,Abalorio Debacle
beads-of-ruin,ko,재앙의구슬
beads-of-ruin,zh-simp,灾祸之玉
beads-of-ruin,zh-trad,災禍之玉
beast-boost,jp-kana,ビーストブースト
beast-boost,jp-kanji,ビーストブースト
beast-boost,en,Beast Boost
beast-boost,fr,Boost Chimère
beast-boost,it,Ultraboost
beast-boost,de,Bestien-Boost
beast-boost,es,Ultraimpulso
beast-boost,ko,비스트부스트
beast-boost,zh-simp,异兽提升
beast-boost,zh-trad,異獸提升
berserk,jp-kana,ぎゃくじょう
berserk,jp-kanji,ぎゃくじょう
berserk,en,Berserk
berserk,fr,Folle Furie
berserk,it,Furore
berserk,de,Wutausbruch
berserk,es,Cólera
berserk,ko,발끈
berserk,zh-simp,怒火冲天
berserk,zh-trad,怒火沖天
big-pecks,jp-kana,はとむね
big-pecks,jp-kanji,はとむね
big-pecks,en,Big Pecks
big-pecks,fr,Cœur de Coq
big-pecks,it,Pettinfuori
big-pecks,de,Brustbieter
big-pecks,es,Sacapecho
big-pecks,ko,부풀린가슴
big-pecks,zh-simp,健壮胸肌
big-pecks,zh-trad,健壯胸肌
blaze,jp-kana,もうか
blaze,jp-kanji,もうか
blaze,en,Blaze
blaze,fr,Brasier
blaze,it,Aiutofuoco
blaze,de,Großbrand
blaze,es,Mar Llamas
blaze,ko,맹화
blaze,zh-simp,猛火
blaze,zh-trad,猛火
bulletproof,jp-kana,ぼうだん
bulletproof,jp-kanji,ぼうだん
bulletproof,en,Bulletproof
bulletproof,fr,Pare-Balles
bulletproof,it,Antiproiettile
bulletproof,de,Kugelsicher
bulletproof,es,Antibalas
bulletproof,ko,방탄
bulletproof,zh-simp,防弹
bulletproof,zh-trad,防彈
cacophony,jp-kana,そうおん
cacophony,en,CACOPHONY
cacophony,fr,CACOPHONIE
cacophony,it,CACOFONIA
cacophony,de,KAKOPHONY
cacophony,es,CACOFONÍA
cheek-pouch,jp-kana,ほおぶくろ
cheek-pouch,jp-kanji,ほおぶくろ
cheek-pouch,en,Cheek Pouch
cheek-pouch,fr,Bajoues
cheek-pouch,it,Guancegonfie
cheek-pouch,de,Backentaschen
cheek-pouch,es,Carrillo
cheek-pouch,ko,볼주머니
cheek-pouch,zh-simp,颊囊
cheek-pouch,zh-trad,頰囊
chilling-neigh,jp-kana,しろのいななき
chilling-neigh,jp-kanji,しろのいななき
chilling-neigh,en,Chilling Neigh
chilling-neigh,fr,Blanche Ruade
chilling-neigh,it,Nitrito Bianco
chilling-neigh,de,Helles Wiehern
chilling-neigh,es,Relincho Blanco
chilling-neigh,ko,백의울음
chilling-neigh,zh-simp,苍白嘶鸣
chilling-neigh,zh-trad,蒼白嘶鳴
chlorophyll,jp-kana,ようりょくそ
chlorophyll,jp-kanji,ようりょくそ
chlorophyll,en,Chlorophyll
chlorophyll,fr,Chlorophylle
chlorophyll,it,Clorofilla
chlorophyll,de,Chlorophyll
chlorophyll,es,Clorofila
chlorophyll,ko,엽록소
chlorophyll,zh-simp,叶绿素
chlorophyll,zh-trad,葉綠素
clear-body,jp-kana,クリアボディ
clear-body,jp-kanji,クリアボディ
clear-body,en,Clear Body
clear-body,fr,Corps Sain
clear-body,it,Corpochiaro
clear-body,de,Neutraltorso
clear-body,es,Cuerpo Puro
clear-body,ko,클리어바디
clear-body,zh-simp,恒净之躯
clear-body,zh-trad,恆淨之軀
cloud-nine,jp-kana,ノーてんき
cloud-nine,jp-kanji,ノーてんき
cloud-nine,en,Cloud Nine
cloud-nine,fr,Ciel Gris
cloud-nine,it,Antimeteo
cloud-nine,de,Wolke Sieben
cloud-nine,es,Aclimatación
cloud-nine,ko,날씨부정
cloud-nine,zh-simp,无关天气
cloud-nine,zh-trad,無關天氣
color-change,jp-kana,へんしょく
color-change,jp-kanji,へんしょく
color-change,en,Color Change
color-change,fr,Homochromie
color-change,it,Cambiacolore
color-change,de,Farbwechsel
color-change,es,Cambio Color
color-change,ko,변색
color-change,zh-simp,变色
color-change,zh-trad,變色
comatose,jp-kana,ぜったいねむり
comatose,jp-kanji,ぜったいねむり
comatose,en,Comatose
comatose,fr,Hypersommeil
comatose,it,Sonno Assoluto
comatose,de,Dauerschlaf
comatose,es,Letargo Perenne
comatose,ko,절대안깸
comatose,zh-simp,绝对睡眠
comatose,zh-trad,絕對睡眠
commander,jp-kana,しれいとう
commander,jp-kanji,しれいとう
commander,en,Commander
commander,fr,Commandant
commander,it,Torre di Comando
commander,de,Kommandant
commander,es,Comandar
commander,ko,사령탑
commander,zh-simp,发号施令
commander,zh-trad,發號施令
competitive,jp-kana,かちき
competitive,jp-kanji,かちき
competitive,en,Competitive
competitive,fr,Battant
competitive,it,Tenacia
competitive,de,Unbeugsamkeit
competitive,es,Tenacidad
competitive,ko,승기
competitive,zh-simp,好胜
competitive,zh-trad,好勝
compound-eyes,jp-kana,ふくがん
compound-eyes,jp-kanji,ふくがん
compound-eyes,en,Compound Eyes
compound-eyes,fr,Œil Composé
compound-eyes,it,Insettocchi
compound-eyes,de,Facettenauge
compound-eyes,es,Ojo Compuesto
compound-eyes,ko,복안
compound-eyes,zh-simp,复眼
compound-eyes,zh-trad,複眼
contrary,jp-kana,あまのじゃく
contrary,jp-kanji,あまのじゃく
contrary,en,Contrary
contrary,fr,Contestation
contrary,it,Inversione
contrary,de,Umkehrung
contrary,es,Respondón
contrary,ko,심술꾸러기
contrary,zh-simp,唱反调
contrary,zh-trad,唱反調
corrosion,jp-kana,ふしょく
corrosion,jp-kanji,ふしょく
corrosion,en,Corrosion
corrosion,fr,Corrosion
corrosion,it,Corrosione
corrosion,de,Korrosion
corrosion,es,Corrosión
corrosion,ko,부식
corrosion,zh-simp,腐蚀
corrosion,zh-trad,腐蝕
costar,jp-kana,きょうえん
costar,jp-kanji,きょうえん
costar,en,Costar
costar,fr,Collab
costar,it,Coprotagonismo
costar,de,Synchronauftritt
costar,es,Unísono
costar,ko,협연
costar,zh-simp,同台共演
costar,zh-trad,同台共演
cotton-down,jp-kana,わたげ
cotton-down,jp-kanji,わたげ
cotton-down,en,Cotton Down
cotton-down,fr,Effilochage
cotton-down,it,Lanugine
cotton-down,de,Wollflaum
cotton-down,es,Pelusa
cotton-down,ko,솜털
cotton-down,zh-simp,棉絮
cotton-down,zh-trad,棉絮
cud-chew,jp-kana,はんすう
cud-chew,jp-kanji,はんすう
cud-chew,en,Cud Chew
cud-chew,fr,Ruminant
cud-chew,it,Ruminante
cud-chew,de,Wiederkäuer
cud-chew,es,Rumia
cud-chew,ko,되새김질
cud-chew,zh-simp,反刍
cud-chew,zh-trad,反芻
curious-medicine,jp-kana,きみょうなくすり
curious-medicine,jp-kanji,きみょうなくすり
curious-medicine,en,Curious Medicine
curious-medicine,fr,Breuvage Suspect
curious-medicine,it,Stranofarmaco
curious-medicine,de,Kuriose Arznei
curious-medicine,es,Medicina Extraña
curious-medicine,ko,기묘한약
curious-medicine,zh-simp,怪药
curious-medicine,zh-trad,怪藥
cursed-body,jp-kana,のろわれボディ
cursed-body,jp-kanji,のろわれボディ
cursed-body,en,Cursed Body
cursed-body,fr,Corps Maudit
cursed-body,it,Corpofunesto
cursed-body,de,Tastfluch
cursed-body,es,Cuerpo Maldito
cursed-body,ko,저주받은바디
cursed-body,zh-simp,咒术之躯
cursed-body,zh-trad,詛咒之軀
cute-charm,jp-kana,メロメロボディ
cute-charm,jp-kanji,メロメロボディ
cute-charm,en,Cute Charm
cute-charm,fr,Joli Sourire
cute-charm,it,Incantevole
cute-charm,de,Charmebolzen
cute-charm,es,Gran Encanto
cute-charm,ko,헤롱헤롱바디
cute-charm,zh-simp,迷人之躯
cute-charm,zh-trad,迷人之軀
damp,jp-kana,しめりけ
damp,jp-kanji,しめりけ
damp,en,Damp
damp,fr,Moiteur
damp,it,Umidità
damp,de,Feuchtigkeit
damp,es,Humedad
damp,ko,습기
damp,zh-simp,湿气
damp,zh-trad,濕氣
dancer,jp-kana,おどりこ
dancer,jp-kanji,おどりこ
dancer,en,Dancer
dancer,fr,Danseuse
dancer,it,Sincrodanza
dancer,de,Tänzer
dancer,es,Pareja de Baile
dancer,ko,무희
dancer,zh-simp,舞者
dancer,zh-trad,舞者
dark-aura,jp-kana,ダークオーラ
dark-aura,jp-kanji,ダークオーラ
dark-aura,en,Dark Aura
dark-aura,fr,Aura Ténébreuse
dark-aura,it,Auratetra
dark-aura,de,Dunkelaura
dark-aura,es,Aura Oscura
dark-aura,ko,다크오라
dark-aura,zh-simp,暗黑气场
dark-aura,zh-trad,暗黑氣場
dauntless-shield,jp-kana,ふくつのたて
dauntless-shield,jp-kanji,ふくつのたて
dauntless-shield,en,Dauntless Shield
dauntless-shield,fr,Égide Inflexible
dauntless-shield,it,Scudo Saldo
dauntless-shield,de,Wackerer Schild
dauntless-shield,es,Escudo Recio
dauntless-shield,ko,불굴의방패
dauntless-shield,zh-simp,不屈之盾
dauntless-shield,zh-trad,不屈之盾
dazzling,jp-kana,ビビッドボディ
dazzling,jp-kanji,ビビッドボディ
dazzling,en,Dazzling
dazzling,fr,Corps Coloré
dazzling,it,Corposgargiante
dazzling,de,Buntkörper
dazzling,es,Cuerpo Vívido
dazzling,ko,비비드바디
dazzling,zh-simp,鲜艳之躯
dazzling,zh-trad,鮮艷之軀
defeatist,jp-kana,よわき
defeatist,jp-kanji,よわき
defeatist,en,Defeatist
defeatist,fr,Défaitiste
defeatist,it,Sconforto
defeatist,de,Schwächling
defeatist,es,Flaqueza
defeatist,ko,무기력
defeatist,zh-simp,软弱
defeatist,zh-trad,軟弱
defiant,jp-kana,まけんき
defiant,jp-kanji,まけんき
defiant,en,Defiant
defiant,fr,Acharné
defiant,it,Agonismo
defiant,de,Siegeswille
defiant,es,Competitivo
defiant,ko,오기
defiant,zh-simp,不服输
defiant,zh-trad,不服輸
delta-stream,jp-kana,デルタストリーム
delta-stream,jp-kanji,デルタストリーム
delta-stream,en,Delta Stream
delta-stream,fr,Souffle Delta
delta-stream,it,Flusso Delta
delta-stream,de,Delta-Wind
delta-stream,es,Ráfaga Delta
delta-stream,ko,델타스트림
delta-stream,zh-simp,德尔塔气流
delta-stream,zh-trad,德爾塔氣流
desolate-land,jp-kana,おわりのだいち
desolate-land,jp-kanji,おわりのだいち
desolate-land,en,Desolate Land
desolate-land,fr,Terre Finale
desolate-land,it,Terra Estrema
desolate-land,de,Endland
desolate-land,es,Tierra del Ocaso
desolate-land,ko,끝의대지
desolate-land,zh-simp,终结之地
desolate-land,zh-trad,終結之地
disguise,jp-kana,ばけのかわ
disguise,jp-kanji,ばけのかわ
disguise,en,Disguise
disguise,fr,Fantômasque
disguise,it,Fantasmanto
disguise,de,Kostümspuk
disguise,es,Disfraz
disguise,ko,탈
disguise,zh-simp,画皮
disguise,zh-trad,畫皮
download,jp-kana,ダウンロード
download,jp-kanji,ダウンロード
download,en,Download
download,fr,Télécharge
download,it,Download
download,de,Download
download,es,Descarga
download,ko,다운로드
download,zh-simp,下载
download,zh-trad,下載
dragons-maw,jp-kana,りゅうのあぎと
dragons-maw,jp-kanji,りゅうのあぎと
dragons-maw,en,Dragon’s Maw
dragons-maw,fr,Dent de Dragon
dragons-maw,it,Dragomascelle
dragons-maw,de,Drachenkiefer
dragons-maw,es,Mandíbula Dragón
dragons-maw,ko,용의턱
dragons-maw,zh-simp,龙颚
dragons-maw,zh-trad,龍顎
drizzle,jp-kana,あめふらし
drizzle,jp-kanji,あめふらし
drizzle,en,Drizzle
drizzle,fr,Crachin
drizzle,it,Piovischio
drizzle,de,Niesel
drizzle,es,Llovizna
drizzle,ko,잔비
drizzle,zh-simp,降雨
drizzle,zh-trad,降雨
drought,jp-kana,ひでり
drought,jp-kanji,ひでり
drought,en,Drought
drought,fr,Sécheresse
drought,it,Siccità
drought,de,Dürre
drought,es,Sequía
drought,ko,가뭄
drought,zh-simp,日照
drought,zh-trad,日照
dry-skin,jp-kana,かんそうはだ
dry-skin,jp-kanji,かんそうはだ
dry-skin,en,Dry Skin
dry-skin,fr,Peau Sèche
dry-skin,it,Pellearsa
dry-skin,de,Trockenheit
dry-skin,es,Piel Seca
dry-skin,ko,건조피부
dry-skin,zh-simp,干燥皮肤
dry-skin,zh-trad,乾燥皮膚
early-bird,jp-kana,はやおき
early-bird,jp-kanji,はやおき
early-bird,en,Early Bird
early-bird,fr,Matinal
early-bird,it,Sveglialampo
early-bird,de,Frühwecker
early-bird,es,Madrugar
early-bird,ko,일찍기상
early-bird,zh-simp,早起
early-bird,zh-trad,早起
earth-eater,jp-kana,どしょく
earth-eater,jp-kanji,どしょく
earth-eater,en,Earth Eater
earth-eater,fr,Absorbe-Terre
earth-eater,it,Mangiaterra
earth-eater,de,Bodenschmaus
earth-eater,es,Geofagia
earth-eater,ko,흙먹기
earth-eater,zh-simp,食土
earth-eater,zh-trad,食土
effect-spore,jp-kana,ほうし
effect-spore,jp-kanji,ほうし
effect-spore,en,Effect Spore
effect-spore,fr,Pose Spore
effect-spore,it,Spargispora
effect-spore,de,Sporenwirt
effect-spore,es,Efecto Espora
effect-spore,ko,포자
effect-spore,zh-simp,孢子
effect-spore,zh-trad,孢子
electric-surge,jp-kana,エレキメイカー
electric-surge,jp-kanji,エレキメイカー
electric-surge,en,Electric Surge
electric-surge,fr,Créa-Élec
electric-surge,it,Elettrogenesi
electric-surge,de,Elektro-Erzeuger
electric-surge,es,Electrogénesis
electric-surge,ko,일렉트릭메이커
electric-surge,zh-simp,电气制造者
electric-surge,zh-trad,電氣製造者
electromorphosis,jp-kana,でんきにかえる
electromorphosis,jp-kanji,でんきにかえる
electromorphosis,en,Electromorphosis
electromorphosis,fr,Grecharge
electromorphosis,it,Convertivolt
electromorphosis,de,Dynamo
electromorphosis,es,Dinamo
electromorphosis,ko,전기로바꾸기
electromorphosis,zh-simp,电力转换
electromorphosis,zh-trad,電力轉換
embody-aspect--cornerstone-mask,jp-kana,おもかげやどし
embody-aspect--cornerstone-mask,jp-kanji,おもかげやどし
embody-aspect--cornerstone-mask,en,Embody Aspect
embody-aspect--cornerstone-mask,fr,Force Mémorielle
embody-aspect--cornerstone-mask,it,Albergamemorie
embody-aspect--cornerstone-mask,de,Erinnerungskraft
embody-aspect--cornerstone-mask,es,Evocarrecuerdos
embody-aspect--cornerstone-mask,ko,초상투영
embody-aspect--cornerstone-mask,zh-simp,面影辉映
embody-aspect--cornerstone-mask,zh-trad,面影輝映
embody-aspect--hearthflame-mask,jp-kana,おもかげやどし
embody-aspect--hearthflame-mask,jp-kanji,おもかげやどし
embody-aspect--hearthflame-mask,en,Embody Aspect
embody-aspect--hearthflame-mask,fr,Force Mémorielle
embody-aspect--hearthflame-mask,it,Albergamemorie
embody-aspect--hearthflame-mask,de,Erinnerungskraft
embody-aspect--hearthflame-mask,es,Evocarrecuerdos
embody-aspect--hearthflame-mask,ko,초상투영
embody-aspect--hearthflame-mask,zh-simp,面影辉映
embody-aspect--hearthflame-mask,zh-trad,面影輝映
embody-aspect--teal-mask,jp-kana,おもかげやどし
embody-aspect--teal-mask,jp-kanji,おもかげやどし
embody-aspect--teal-mask,en,Embody Aspect
embody-aspect--teal-mask,fr,Force Mémorielle
embody-aspect--teal-mask,it,Albergamemorie
embody-aspect--teal-mask,de,Erinnerungskraft
embody-aspect--teal-mask,es,Evocarrecuerdos
embody-aspect--teal-mask,ko,초상투영
embody-aspect--teal-mask,zh-simp,面影辉映
embody-aspect--teal-mask,zh-trad,面影輝映
embody-aspect--wellspring-mask,jp-kana,おもかげやどし
embody-aspect--wellspring-mask,jp-kanji,おもかげやどし
embody-aspect--wellspring-mask,en,Embody Aspect
embody-aspect--wellspring-mask,fr,Force Mémorielle
embody-aspect--wellspring-mask,it,Albergamemorie
embody-aspect--wellspring-mask,de,Erinnerungskraft
embody-aspect--wellspring-mask,es,Evocarrecuerdos
embody-aspect--wellspring-mask,ko,초상투영
embody-aspect--wellspring-mask,zh-simp,面影辉映
embody-aspect--wellspring-mask,zh-trad,面影輝映
emergency-exit,jp-kana,ききかいひ
emergency-exit,jp-kanji,ききかいひ
emergency-exit,en,Emergency Exit
emergency-exit,fr,Repli Tactique
emergency-exit,it,Passoindietro
emergency-exit,de,Rückzug
emergency-exit,es,Retirada
emergency-exit,ko,위기회피
emergency-exit,zh-simp,危险回避
emergency-exit,zh-trad,危險迴避
fairy-aura,jp-kana,フェアリーオーラ
fairy-aura,jp-kanji,フェアリーオーラ
fairy-aura,en,Fairy Aura
fairy-aura,fr,Aura Féérique
fairy-aura,it,Aurafolletto
fairy-aura,de,Feenaura
fairy-aura,es,Aura Feérica
fairy-aura,ko,페어리오라
fairy-aura,zh-simp,妖精气场
fairy-aura,zh-trad,妖精氣場
filter,jp-kana,フィルター
filter,jp-kanji,フィルター
filter,en,Filter
filter,fr,Filtre
filter,it,Filtro
filter,de,Filter
filter,es,Filtro
filter,ko,필터
filter,zh-simp,过滤
filter,zh-trad,過濾
flame-body,jp-kana,ほのおのからだ
flame-body,jp-kanji,ほのおのからだ
flame-body,en,Flame Body
flame-body,fr,Corps Ardent
flame-body,it,Corpodifuoco
flame-body,de,Flammkörper
flame-body,es,Cuerpo Llama
flame-body,ko,불꽃몸
flame-body,zh-simp,火焰之躯
flame-body,zh-trad,火焰之軀
flare-boost,jp-kana,ねつぼうそう
flare-boost,jp-kanji,ねつぼうそう
flare-boost,en,Flare Boost
flare-boost,fr,Rage Brûlure
flare-boost,it,Bruciaimpeto
flare-boost,de,Hitzewahn
flare-boost,es,Ímpetu Ardiente
flare-boost,ko,열폭주
flare-boost,zh-simp,受热激升
flare-boost,zh-trad,受熱激升
flash-fire,jp-kana,もらいび
flash-fire,jp-kanji,もらいび
flash-fire,en,Flash Fire
flash-fire,fr,Torche
flash-fire,it,Fuocardore
flash-fire,de,Feuerfänger
flash-fire,es,Absorbe Fuego
flash-fire,ko,타오르는불꽃
flash-fire,zh-simp,引火
flash-fire,zh-trad,引火
flower-gift,jp-kana,フラワーギフト
flower-gift,jp-kanji,フラワーギフト
flower-gift,en,Flower Gift
flower-gift,fr,Don Floral
flower-gift,it,Regalfiore
flower-gift,de,Pflanzengabe
flower-gift,es,Don Floral
flower-gift,ko,플라워기프트
flower-gift,zh-simp,花之礼
flower-gift,zh-trad,花之禮
flower-veil,jp-kana,フラワーベール
flower-veil,jp-kanji,フラワーベール
flower-veil,en,Flower Veil
flower-veil,fr,Flora-Voile
flower-veil,it,Fiorvelo
flower-veil,de,Blütenhülle
flower-veil,es,Velo Flor
flower-veil,ko,플라워베일
flower-veil,zh-simp,花幕
flower-veil,zh-trad,花幕
fluffy,jp-kana,もふもふ
fluffy,jp-kanji,もふもふ
fluffy,en,Fluffy
fluffy,fr,Boule de Poils
fluffy,it,Morbidone
fluffy,de,Flauschigkeit
fluffy,es,Peluche
fluffy,ko,복슬복슬
fluffy,zh-simp,毛茸茸
fluffy,zh-trad,毛茸茸
forecast,jp-kana,てんきや
forecast,jp-kanji,てんきや
forecast,en,Forecast
forecast,fr,Météo
forecast,it,Previsioni
forecast,de,Prognose
forecast,es,Predicción
forecast,ko,기분파
forecast,zh-simp,阴晴不定
forecast,zh-trad,陰晴不定
forewarn,jp-kana,よちむ
forewarn,jp-kanji,よちむ
forewarn,en,Forewarn
forewarn,fr,Prédiction
forewarn,it,Premonizione
forewarn,de,Vorwarnung
forewarn,es,Alerta
forewarn,ko,예지몽
forewarn,zh-simp,预知梦
forewarn,zh-trad,預知夢
friend-guard,jp-kana,フレンドガード
friend-guard,jp-kanji,フレンドガード
friend-guard,en,Friend Guard
friend-guard,fr,Garde-Ami
friend-guard,it,Amicoscudo
friend-guard,de,Freundeshut
friend-guard,es,Compiescolta
friend-guard,ko,프렌드가드
friend-guard,zh-simp,友情防守
friend-guard,zh-trad,友情防守
frisk,jp-kana,おみとおし
frisk,jp-kanji,おみとおし
frisk,en,Frisk
frisk,fr,Fouille
frisk,it,Indagine
frisk,de,Schnüffler
frisk,es,Cacheo
frisk,ko,통찰
frisk,zh-simp,察觉
frisk,zh-trad,察覺
full-metal-body,jp-kana,メタルプロテクト
full-metal-body,jp-kanji,メタルプロテクト
full-metal-body,en,Full Metal Body
full-metal-body,fr,Métallo-Garde
full-metal-body,it,Metalprotezione
full-metal-body,de,Metallprotektor
full-metal-body,es,Guardia Metálica
full-metal-body,ko,메탈프로텍트
full-metal-body,zh-simp,金属防护
full-metal-body,zh-trad,金屬防護
fur-coat,jp-kana,ファーコート
fur-coat,jp-kanji,ファーコート
fur-coat,en,Fur Coat
fur-coat,fr,Toison Épaisse
fur-coat,it,Foltopelo
fur-coat,de,Fellkleid
fur-coat,es,Pelaje Recio
fur-coat,ko,퍼코트
fur-coat,zh-simp,毛皮大衣
fur-coat,zh-trad,毛皮大衣
gale-wings,jp-kana,はやてのつばさ
gale-wings,jp-kanji,はやてのつばさ
gale-wings,en,Gale Wings
gale-wings,fr,Ailes Bourrasque
gale-wings,it,Aliraffica
gale-wings,de,Orkanschwingen
gale-wings,es,Alas Vendaval
gale-wings,ko,질풍날개
gale-wings,zh-simp,疾风之翼
gale-wings,zh-trad,疾風之翼
galvanize,jp-kana,エレキスキン
galvanize,jp-kanji,エレキスキン
galvanize,en,Galvanize
galvanize,fr,Peau Électrique
galvanize,it,Pellelettro
galvanize,de,Elektrohaut
